episode,reward
0,-95.7622
1,-178.368
2,216.581
3,51.497
4,-183.273
5,176.012
6,179.434
7,145.014
8,287.433
9,96.9169
10,143.973
11,193.041
12,81.161
13,177.014
14,225.911
15,-162.098
16,135.034
17,-188.074
18,-338.284
19,452.194
20,141.016
21,-250.216
22,-40.5334
23,-788.163
24,240.126
25,557.59
26,-8.3739
27,-1307.86
28,218.957
29,264.871
30,44.6202
31,840.573
32,211.873
33,324.342
34,584.505
35,233.844
36,352.6
37,795.039
38,189.294
39,85.466
40,222.094
41,423.848
42,423.852
43,112.942
44,131.616
45,146.189
46,249.314
47,63.2978
48,-45.4677
49,377.782
50,-26.7233
51,195.274
52,-29.0363
53,-43.7224
54,165.569
55,112.855
56,335.569
57,137.745
58,263.25
59,95.9798
60,588.938
61,358.749
62,555.714
63,141.145
64,457.323
65,141.329
66,146.944
67,326.608
68,215.757
69,55.2137
70,347.089
71,471.009
72,79.6534
73,696.785
74,329.5
75,382.281
76,104.039
77,456.711
78,379.672
79,-62.3601
80,94.7587
81,712.641
82,361.323
83,-101.578
84,273.496
85,234.046
86,163.104
87,-1172.91
88,-14.7913
89,398.836
90,94.1883
91,469.626
92,-13.9772
93,111.778
94,563.816
95,247.966
96,256.824
97,502.664
98,435.014
99,4.99458
100,436.489
101,531.204
102,375.329
103,-189.195
104,365.124
105,254.634
106,283.486
107,153.473
108,533.071
109,106.044
110,-117.558
111,141.162
112,530.286
113,65.3043
114,106.826
115,157.828
116,91.8833
117,31.6039
118,401.25
119,502.589
120,383.029
121,126.308
122,351.196
123,587.208
124,508.8
125,538.496
126,181.162
127,-94.2647
128,339.942
129,410.209
130,21.4833
131,459.894
132,347.692
133,154.439
134,-127.613
135,423.535
136,-10.3402
137,94.0619
138,39.3568
139,-629.441
140,326.064
141,128.053
142,108.381
143,141.324
144,-33.4893
145,424.41
146,160.307
147,272.213
148,351.822
149,-32.9845
150,396.843
151,-0.265411
152,207.518
153,184.786
154,13.614
155,-72.8248
156,97.7297
157,270.301
158,322.781
159,413.838
160,193.544
161,530.548
162,173.059
163,146.897
164,435.565
165,178.11
166,7.8634
167,177.214
168,398.575
169,-0.122986
170,419.742
171,630.536
172,350.048
173,240.975
174,112.594
175,75.2011
176,330.917
177,312.447
178,-194.406
179,247.468
180,247.789
181,-520.857
182,737.759
183,274.215
184,292.275
185,68.0384
186,586.293
187,-103.14
188,235.944
189,356.311
190,585.61
191,575.218
192,373.681
193,201.402
194,-744.875
195,443.996
196,257.767
197,285.414
198,915.519
199,274.095
200,245.347
